# z	H_screen	phi	psi	H_target
4.087036061529600062e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.485584475322990272e+02
4.081455207892508241e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.482603387149716525e+02
4.075881792912945656e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.479628297200967211e+02
4.070315806676006076e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.476659193356521769e+02
4.064757239280002210e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.473696063520824282e+02
4.059206080836443675e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.470738895622930897e+02
4.053662321470024210e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.467787677616461792e+02
4.048125951318590410e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.464842397479540921e+02
4.042596960533143147e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.461903043214760203e+02
4.037075339277809150e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.458969602849118701e+02
4.031561077729821108e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.456042064433974872e+02
4.026054166079508434e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.453120416044998535e+02
4.020554594530274528e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.450204645782118291e+02
4.015062353298581144e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.447294741769474342e+02
4.009577432613930625e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.444390692155366480e+02
4.004099822718845303e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.441492485112202928e+02
3.998629513868855412e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.438600108836455433e+02
3.993166496332483462e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.435713551548608109e+02
3.987710760391212972e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.432832801493102579e+02
3.982262296339490604e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.429957846938298189e+02
3.976821094484694896e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.427088676176415163e+02
3.971387145147127029e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.424225277523490831e+02
3.965960438659984533e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.421367639319324496e+02
3.960540965369352762e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.418515749927434513e+02
3.955128715634187841e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.415669597735007983e+02
3.949723679826291800e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.412829171152850165e+02
3.944325848330300488e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.409994458615336441e+02
3.938935211543667947e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.407165448580366274e+02
3.933551759876647935e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.404342129529312331e+02
