# z	ratio	Geff/GN	alpha_B
5.817635270541082759e-01 1.006357223114913824e+00 1.012754860515560518e+00 1.602753718208723144e-01
5.846693386773547108e-01 1.006344582471172533e+00 1.012729418669078507e+00 1.602455564471644556e-01
5.875751503006012566e-01 1.006331720461093537e+00 1.012703531606184537e+00 1.602152207264933848e-01
5.904809619238476914e-01 1.006318641651049450e+00 1.012677208534413342e+00 1.601843755208578191e-01
5.933867735470942373e-01 1.006305350550032340e+00 1.012650458545623522e+00 1.601530315558807316e-01
5.962925851703406721e-01 1.006291851610244592e+00 1.012623290617174598e+00 1.601211994221355961e-01
5.991983967935872180e-01 1.006278149227660679e+00 1.012595713613046122e+00 1.600888895764129016e-01
6.021042084168336528e-01 1.006264247742649554e+00 1.012567736285080455e+00 1.600561123431289146e-01
6.050100200400801986e-01 1.006250151437482643e+00 1.012539367267956791e+00 1.600228779083960606e-01
6.079158316633266335e-01 1.006235864462798224e+00 1.012510614931194874e+00 1.599891961466223811e-01
6.108216432865731793e-01 1.006221390989108455e+00 1.012481487684056214e+00 1.599550769776652837e-01
6.137274549098197252e-01 1.006206735155654952e+00 1.012451993872602429e+00 1.599205302461815248e-01
6.166332665330661600e-01 1.006191901044800385e+00 1.012422141728149372e+00 1.598855656612080123e-01
6.195390781563127058e-01 1.006176892682657753e+00 1.012391939368528559e+00 1.598501927976115344e-01
6.224448897795591407e-01 1.006161714039818467e+00 1.012361394799545344e+00 1.598144210977722468e-01
6.253507014028056865e-01 1.006146369032092203e+00 1.012330515916463058e+00 1.597782598732978843e-01
6.282565130260521213e-01 1.006130861521235653e+00 1.012299310505463845e+00 1.597417183067153801e-01
6.311623246492986672e-01 1.006115195315656408e+00 1.012267786245061529e+00 1.597048054531064187e-01
6.340681362725451020e-01 1.006099374171129712e+00 1.012235950707538912e+00 1.596675302417714382e-01
6.369739478957916479e-01 1.006083401791494580e+00 1.012203811360345984e+00 1.596299014778542746e-01
6.398797595190380827e-01 1.006067281829354343e+00 1.012171375567505471e+00 1.595919278439732747e-01
6.427855711422846285e-01 1.006051017886751220e+00 1.012138650590968192e+00 1.595536179017968681e-01
6.456913827655310634e-01 1.006034613515838894e+00 1.012105643591963311e+00 1.595149800936149220e-01
6.485971943887776092e-01 1.006018072219546200e+00 1.012072361632332163e+00 1.594760227438902778e-01
6.515030060120240440e-01 1.006001397452239265e+00 1.012038811675858296e+00 1.594367540608112310e-01
6.544088176352705899e-01 1.005984592620366991e+00 1.012005000589565773e+00 1.593971821378029896e-01
6.573146292585170247e-01 1.005967661083102094e+00 1.011970935145007022e+00 1.593573149550338020e-01
6.602204408817635706e-01 1.005950606152973936e+00 1.011936622019535603e+00 1.593171603808995473e-01
6.631262525050100054e-01 1.005933431096488029e+00 1.011902067797552762e+00 1.592767261734825412e-01
6.660320641282565512e-01 1.005916139134742204e+00 1.011867278971745998e+00 1.592360199819998490e-01
6.689378757515029861e-01 1.005898733444035020e+00 1.011832261944313860e+00 1.591950493482383322e-01
6.718436873747495319e-01 1.005881217156467500e+00 1.011797023028176534e+00 1.591538217079723760e-01
6.747494989979960778e-01 1.005863593360530883e+00 1.011761568448159343e+00 1.591123443923523340e-01
6.776553106212425126e-01 1.005845865101696157e+00 1.011725904342179572e+00 1.590706246292960535e-01
6.805611222444890585e-01 1.005828035382984265e+00 1.011690036762393774e+00 1.590286695448385745e-01
6.834669338677354933e-01 1.005810107165540312e+00 1.011653971676355734e+00 1.589864861644894045e-01
6.863727454909820391e-01 1.005792083369191792e+00 1.011617714968139348e+00 1.589440814145556546e-01
6.892785571142284740e-01 1.005773966873002356e+00 1.011581272439455281e+00 1.589014621234543512e-01
6.921843687374750198e-01 1.005755760515820274e+00 1.011544649810756091e+00 1.588586350230147271e-01
6.950901803607214546e-01 1.005737467096817106e+00 1.011507852722321354e+00 1.588156067497536739e-01
6.979959919839680005e-01 1.005719089376018616e+00 1.011470886735328145e+00 1.587723838461425618e-01
7.009018036072144353e-01 1.005700630074833235e+00 1.011433757332916628e+00 1.587289727618588497e-01
7.038076152304609812e-01 1.005682091876566764e+00 1.011396469921227226e+00 1.586853798550136307e-01
7.067134268537074160e-01 1.005663477426935293e+00 1.011359029830436018e+00 1.586416113933728778e-01
7.096192384769539618e-01 1.005644789334570577e+00 1.011321442315772812e+00 1.585976735555594264e-01
7.125250501002003967e-01 1.005626030171516971e+00 1.011283712558524783e+00 1.585535724322415241e-01
7.154308617234469425e-01 1.005607202473722372e+00 1.011245845667026133e+00 1.585093140273007850e-01
7.183366733466933773e-01 1.005588308741522052e+00 1.011207846677634636e+00 1.584649042589905132e-01
7.212424849699399232e-01 1.005569351440118497e+00 1.011169720555700646e+00 1.584203489610801485e-01
7.241482965931863580e-01 1.005550333000053698e+00 1.011131472196518777e+00 1.583756538839848904e-01
