# z	H	phi	psi
3.840280152451649087e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.832403533083283520e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.824542659075721218e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.816697498953993062e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.808868021306041385e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.801054194782600604e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.793255988097081399e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.785473370025427187e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.777706309405999718e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.769954775139459002e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.762218736188625456e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.754498161578364801e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.746793020395464424e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.739103281788506195e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.731428914967739985e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.723769889204972117e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.716126173833428226e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.708497738247636732e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.700884551903312314e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.693286584317221610e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.685703805067068828e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.678136183791374947e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.670583690189350534e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.663046294020779214e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.655523965105891193e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.648016673325252412e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.640524388619632390e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.633047080989889821e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.625584720496854629e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.618137277261202200e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.610704721463335432e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.603287023343271755e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.595884153200515243e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.588496081393938653e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.581122778341674007e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.573764214520983273e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.566420360468143969e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.559091186778331917e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.551776664105505432e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.544476763162283817e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.537191454719830119e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.529920709607741003e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.522664498713920267e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.515422792984465161e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.508195563423558383e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.500982781093340179e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.493784417113797502e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.486600442662651744e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.479430828975237233e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.472275547344387547e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.465134569120328223e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.458007865710548856e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.450895408579697232e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.443797169249467061e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.436713119298475050e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.429643230362153616e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.422587474132639329e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.415545822358652828e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.408518246845387978e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.401504719454405290e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.394505212103508285e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.387519696766638333e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.380548145473765231e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.373590530310764279e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.366646823419314671e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.359716996996785099e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.352801023296120064e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.345898874625729036e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.339010523349381288e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.332135941886088659e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.325275102709994712e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.318427978350270280e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.311594541391001201e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.304774764471076054e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.297968620284076025e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.291176081578173296e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.284397121156012389e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.277631711874604292e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.270879826645224142e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.264141438433293274e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.257416520258273351e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.250705045193566889e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.244006986366397172e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.237322316957706647e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.230651010202048923e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.223993039387486448e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.217348377855473274e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.210716999000754157e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.204098876271262242e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.197493983168003950e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.190902293244957377e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.184323780108969970e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.177758417419646264e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.171206178889243432e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.164667038282572520e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.158140969416884758e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.151627946161771376e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.145127942439061286e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.138640932222710234e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.132166889538699195e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.125705788464937029e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.119257603131144663e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.112822307718759163e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.106399876460832132e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.099990283641919575e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.093593503597983485e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.087209510716290950e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.080838279435305083e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.074479784244588032e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.068133999684698310e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.061800900347087406e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.055480460873995341e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.049172655958359002e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.042877460343698459e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.036594848824021398e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.030324796243726482e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.024067277497495709e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.017822267530194580e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.011589741336779014e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
3.005369673962186639e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
2.999162040501238735e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
