# z	phi_prime_sq	E2	dE2_dz
6.459151830366073599e-02 -1.292599646479601072e-01 1.050875313306836700e+00 8.652094286874878470e-01
6.519143828765754101e-02 -1.288483243285110380e-01 1.051394803594034588e+00 8.666558522836542711e-01
6.579135827165433215e-02 -1.284377938606477976e-01 1.051915161671461929e+00 8.681024487031288039e-01
6.639127825565113716e-02 -1.280283706731570881e-01 1.052436387642988080e+00 8.695492185775306471e-01
6.699119823964792830e-02 -1.276200521995918269e-01 1.052958481612861430e+00 8.709961625376868577e-01
6.759111822364473332e-02 -1.272128358782645685e-01 1.053481443685708507e+00 8.724432812136332371e-01
6.819103820764152446e-02 -1.268067191522425086e-01 1.054005273966533540e+00 8.738905752346126654e-01
6.879095819163832948e-02 -1.264016994693407392e-01 1.054529972560718010e+00 8.753380452290797642e-01
6.939087817563513449e-02 -1.259977742821165037e-01 1.055055539574020207e+00 8.767856918247002307e-01
6.999079815963192563e-02 -1.255949410478635897e-01 1.055581975112575011e+00 8.782335156483509486e-01
7.059071814362873065e-02 -1.251931972286062233e-01 1.056109279282892555e+00 8.796815173261223197e-01
7.119063812762552179e-02 -1.247925402910933790e-01 1.056637452191859117e+00 8.811296974833175977e-01
7.179055811162232681e-02 -1.243929677067922013e-01 1.057166493946735120e+00 8.825780567444565516e-01
7.239047809561913183e-02 -1.239944769518831619e-01 1.057696404655156019e+00 8.840265957332729130e-01
7.299039807961592297e-02 -1.235970655072534397e-01 1.058227184425130529e+00 8.854753150727181499e-01
7.359031806361272798e-02 -1.232007308584907451e-01 1.058758833365041951e+00 8.869242153849614674e-01
7.419023804760951912e-02 -1.228054704958789628e-01 1.059291351583645069e+00 8.883732972913893633e-01
7.479015803160632414e-02 -1.224112819143907127e-01 1.059824739190068588e+00 8.898225614126091809e-01
7.539007801560312916e-02 -1.220181626136817854e-01 1.060358996293812250e+00 8.912720083684485539e-01
7.598999799959992030e-02 -1.216261100980862014e-01 1.060894123004748613e+00 8.927216387779558504e-01
7.658991798359672531e-02 -1.212351218766097305e-01 1.061430119433120378e+00 8.941714532594022824e-01
7.718983796759351645e-02 -1.208451954629237990e-01 1.061966985689541065e+00 8.956214524302821278e-01
7.778975795159032147e-02 -1.204563283753599390e-01 1.062504721884995007e+00 8.970716369073141738e-01
7.838967793558712649e-02 -1.200685181369044591e-01 1.063043328130835352e+00 8.985220073064423829e-01
7.898959791958391763e-02 -1.196817622751921856e-01 1.063582804538785398e+00 8.999725642428357819e-01
7.958951790358072265e-02 -1.192960583224999122e-01 1.064123151220937036e+00 9.014233083308920147e-01
8.018943788757751379e-02 -1.189114038157426251e-01 1.064664368289750085e+00 9.028742401842346776e-01
8.078935787157431880e-02 -1.185277962964654402e-01 1.065206455858052514e+00 9.043253604157182046e-01
