# phi[M_Pl]	V[H0^2*Mpl^2]	V[GeV^4]	V[eV^4]
1.649257435298479013e-03 1.986152992242855353e+00 5.889343336792443945e-43 5.889343336792444173e-07
1.662150945182239159e-03 1.986133200106052765e+00 5.889284649123641599e-43 5.889284649123641818e-07
1.675072549990247461e-03 1.986113449964052924e+00 5.889226085977881567e-43 5.889226085977881486e-07
1.688022124931118362e-03 1.986093741784923816e+00 5.889167647260477634e-43 5.889167647260477600e-07
1.700999546125847584e-03 1.986074075536755634e+00 5.889109332876811292e-43 5.889109332876811287e-07
1.714004690596196423e-03 1.986054451187656333e+00 5.889051142732317402e-43 5.889051142732317669e-07
1.727037436253422986e-03 1.986034868705754519e+00 5.888993076732488972e-43 5.888993076732489047e-07
1.740097661887179958e-03 1.986015328059195229e+00 5.888935134782870787e-43 5.888935134782870659e-07
1.753185247154578907e-03 1.985995829216145259e+00 5.888877316789071353e-43 5.888877316789071270e-07
1.766300072569476631e-03 1.985976372144791613e+00 5.888819622656756531e-43 5.888819622656756821e-07
1.779442019491928040e-03 1.985956956813336838e+00 5.888762052291643158e-43 5.888762052291643016e-07
1.792610970117888836e-03 1.985937583190005462e+00 5.888704605599509406e-43 5.888704605599510145e-07
1.805806807469001463e-03 1.985918251243040888e+00 5.888647282486190798e-43 5.888647282486191438e-07
1.819029415382658610e-03 1.985898960940704949e+00 5.888590082857577023e-43 5.888590082857577300e-07
1.832278678502122227e-03 1.985879712251278129e+00 5.888533006619612731e-43 5.888533006619613191e-07
1.845554482266961727e-03 1.985860505143061783e+00 5.888476053678306296e-43 5.888476053678307042e-07
1.858856712903506070e-03 1.985841339584375698e+00 5.888419223939719460e-43 5.888419223939719722e-07
1.872185257415587278e-03 1.985822215543559199e+00 5.888362517309970520e-43 5.888362517309970336e-07
1.885540003575353341e-03 1.985803132988968489e+00 5.888305933695230346e-43 5.888305933695230926e-07
1.898920839914261527e-03 1.985784091888982861e+00 5.888249473001736716e-43 5.888249473001737062e-07
1.912327655714224361e-03 1.985765092211996485e+00 5.888193135135773609e-43 5.888193135135774078e-07
1.925760340998949882e-03 1.985746133926425738e+00 5.888136920003687134e-43 5.888136920003687657e-07
1.939218786525337412e-03 1.985727217000706535e+00 5.888080827511883939e-43 5.888080827511883837e-07
1.952702883775081499e-03 1.985708341403289889e+00 5.888024857566814480e-43 5.888024857566815240e-07
1.966212524946400753e-03 1.985689507102648577e+00 5.887969010074996123e-43 5.887969010074995897e-07
1.979747602945863827e-03 1.985670714067276688e+00 5.887913284943005977e-43 5.887913284943006546e-07
1.993308011380451328e-03 1.985651962265682080e+00 5.887857682077463365e-43 5.887857682077463921e-07
2.006893644549603839e-03 1.985633251666395704e+00 5.887802201385057709e-43 5.887802201385057814e-07
2.020504397437505872e-03 1.985614582237967607e+00 5.887746842772531000e-43 5.887746842772530956e-07
2.034140165705480841e-03 1.985595953948963821e+00 5.887691606146677805e-43 5.887691606146677960e-07
2.047800845684441540e-03 1.985577366767973473e+00 5.887636491414357206e-43 5.887636491414356965e-07
2.061486334367548801e-03 1.985558820663597679e+00 5.887581498482464932e-43 5.887581498482465286e-07
2.075196529402925649e-03 1.985540315604467754e+00 5.887526627257987512e-43 5.887526627257988116e-07
2.088931329086496369e-03 1.985521851559221229e+00 5.887471877647929005e-43 5.887471877647929710e-07
2.102690632354978217e-03 1.985503428496527611e+00 5.887417249559387458e-43 5.887417249559387494e-07
2.116474338778914777e-03 1.985485046385064400e+00 5.887362742899484817e-43 5.887362742899485362e-07
2.130282348555889715e-03 1.985466705193532189e+00 5.887308357575413919e-43 5.887308357575413916e-07
2.144114562503796062e-03 1.985448404890653773e+00 5.887254093494428937e-43 5.887254093494429401e-07
2.157970882054230377e-03 1.985430145445161720e+00 5.887199950563818292e-43 5.887199950563818766e-07
2.171851209245970193e-03 1.985411926825821016e+00 5.887145928690962011e-43 5.887145928690962135e-07
2.185755446718576356e-03 1.985393749001404196e+00 5.887092027783264812e-43 5.887092027783265042e-07
2.199683497706064750e-03 1.985375611940708662e+00 5.887038247748205495e-43 5.887038247748206079e-07
2.213635266030716808e-03 1.985357515612545587e+00 5.886984588493302682e-43 5.886984588493303013e-07
2.227610656096931652e-03 1.985339459985752342e+00 5.886931049926151469e-43 5.886931049926151960e-07
2.241609572885217005e-03 1.985321445029177401e+00 5.886877631954383588e-43 5.886877631954383977e-07
2.255631921946207874e-03 1.985303470711692331e+00 5.886824334485695295e-43 5.886824334485695766e-07
2.269677609394851747e-03 1.985285537002189571e+00 5.886771157427846568e-43 5.886771157427846499e-07
2.283746541904649319e-03 1.985267643869575327e+00 5.886718100688638807e-43 5.886718100688638756e-07
2.297838626701936837e-03 1.985249791282778009e+00 5.886665164175938725e-43 5.886665164175938647e-07
2.311953771560293358e-03 1.985231979210743347e+00 5.886612347797663222e-43 5.886612347797663101e-07
2.326091884795059017e-03 1.985214207622438387e+00 5.886559651461792919e-43 5.886559651461793637e-07
2.340252875257867182e-03 1.985196476486847050e+00 5.886507075076360213e-43 5.886507075076360475e-07
2.354436652331301505e-03 1.985178785772967469e+00 5.886454618549437328e-43 5.886454618549437247e-07
2.368643125923622361e-03 1.985161135449827530e+00 5.886402281789186498e-43 5.886402281789186524e-07
2.382872206463534925e-03 1.985143525486463556e+00 5.886350064703794650e-43 5.886350064703795227e-07
2.397123804895096022e-03 1.985125955851935853e+00 5.886297967201517215e-43 5.886297967201516984e-07
2.411397832672620978e-03 1.985108426515322932e+00 5.886245989190668567e-43 5.886245989190668948e-07
2.425694201755743129e-03 1.985090937445718406e+00 5.886194130579602110e-43 5.886194130579602155e-07
2.440012824604459452e-03 1.985073488612245196e+00 5.886142391276762852e-43 5.886142391276762929e-07
2.454353614174301090e-03 1.985056079984030664e+00 5.886090771190606954e-43 5.886090771190607128e-07
2.468716483911559401e-03 1.985038711530228372e+00 5.886039270229668635e-43 5.886039270229668956e-07
2.483101347748567500e-03 1.985021383220009650e+00 5.885987888302535487e-43 5.885987888302535560e-07
2.497508120099065088e-03 1.985004095022570691e+00 5.885936625317865990e-43 5.885936625317866083e-07
2.511936715853604896e-03 1.984986846907112135e+00 5.885885481184334558e-43 5.885885481184334491e-07
2.526387050375056287e-03 1.984969638842867479e+00 5.885834455810712782e-43 5.885834455810713218e-07
2.540859039494122729e-03 1.984952470799079105e+00 5.885783549105799338e-43 5.885783549105800109e-07
2.555352599504956412e-03 1.984935342745014708e+00 5.885732760978463791e-43 5.885732760978463949e-07
2.569867647160814506e-03 1.984918254649959746e+00 5.885682091337634653e-43 5.885682091337634930e-07
2.584404099669826427e-03 1.984901206483212110e+00 5.885631540092270705e-43 5.885631540092270776e-07
2.598961874690691731e-03 1.984884198214091899e+00 5.885581107151402414e-43 5.885581107151402266e-07
2.613540890328613919e-03 1.984867229811944966e+00 5.885530792424132737e-43 5.885530792424133235e-07
2.628141065131109344e-03 1.984850301246123383e+00 5.885480595819585337e-43 5.885480595819585518e-07
2.642762318084010409e-03 1.984833412486007642e+00 5.885430517246966722e-43 5.885430517246966713e-07
2.657404568607454887e-03 1.984816563500991560e+00 5.885380556615523223e-43 5.885380556615523591e-07
2.672067736551902994e-03 1.984799754260490712e+00 5.885330713834564898e-43 5.885330713834565395e-07
2.686751742194307124e-03 1.984782984733934441e+00 5.885280988813446410e-43 5.885280988813446893e-07
2.701456506234226063e-03 1.984766254890776960e+00 5.885231381461590129e-43 5.885231381461590616e-07
