# z	phi[M_Pl]	V[Mpl^4_nat]	V(z)_nat
2.958009800980097914e+00 9.266465330765770447e-02 1.987065909272532016e+00 2.108350964093794744e+00
2.957709870987098366e+00 9.265901544264414091e-02 1.987044237459071994e+00 2.108336833720485970e+00
2.957409940994099262e+00 9.265337706185858280e-02 1.987022609064584167e+00 2.108322702422899653e+00
2.957110011001099714e+00 9.264773816508621584e-02 1.987001024056280540e+00 2.108308570200250642e+00
2.956810081008100610e+00 9.264209875211207312e-02 1.986979482401392660e+00 2.108294437051700498e+00
2.956510151015101062e+00 9.263645882272109056e-02 1.986957984067168503e+00 2.108280302976453413e+00
2.956210221022101958e+00 9.263081837669812080e-02 1.986936529020882025e+00 2.108266167973710026e+00
2.955910291029102854e+00 9.262517741382787773e-02 1.986915117229821615e+00 2.108252032042667423e+00
2.955610361036103306e+00 9.261953593389497807e-02 1.986893748661298087e+00 2.108237895182476507e+00
2.955310431043104202e+00 9.261389393668394143e-02 1.986872423282639133e+00 2.108223757392380548e+00
2.955010501050104654e+00 9.260825142197913473e-02 1.986851141061195758e+00 2.108209618671537555e+00
2.954710571057105550e+00 9.260260838956486940e-02 1.986829901964337619e+00 2.108195479019155272e+00
2.954410641064106002e+00 9.259696483922531807e-02 1.986808705959451249e+00 2.108181338434430785e+00
2.954110711071106898e+00 9.259132077074457012e-02 1.986787553013946495e+00 2.108167196916529207e+00
2.953810781078107350e+00 9.258567618390654841e-02 1.986766443095250967e+00 2.108153054464686704e+00
2.953510851085108246e+00 9.258003107849514801e-02 1.986745376170811372e+00 2.108138911078039968e+00
2.953210921092109142e+00 9.257438545429409749e-02 1.986724352208094624e+00 2.108124766755835822e+00
2.952910991099109594e+00 9.256873931108701437e-02 1.986703371174588506e+00 2.108110621497218062e+00
2.952611061106110490e+00 9.256309264865744679e-02 1.986682433037798567e+00 2.108096475301401540e+00
2.952311131113110942e+00 9.255744546678879026e-02 1.986661537765250118e+00 2.108082328167594000e+00
2.952011201120111838e+00 9.255179776526437085e-02 1.986640685324489564e+00 2.108068180094957000e+00
2.951711271127112290e+00 9.254614954386736203e-02 1.986619875683080627e+00 2.108054031082694735e+00
2.951411341134113187e+00 9.254050080238086784e-02 1.986599108808609460e+00 2.108039881130000737e+00
2.951111411141113638e+00 9.253485154058786744e-02 1.986578384668679087e+00 2.108025730236068540e+00
2.950811481148114535e+00 9.252920175827122895e-02 1.986557703230913852e+00 2.108011578400073915e+00
2.950511551155115431e+00 9.252355145521369562e-02 1.986537064462956081e+00 2.107997425621231713e+00
2.950211621162115883e+00 9.251790063119792740e-02 1.986516468332466090e+00 2.107983271898735467e+00
2.949911691169116779e+00 9.251224928600647324e-02 1.986495914807131724e+00 2.107969117231739631e+00
2.949611761176117231e+00 9.250659741942172942e-02 1.986475403854648381e+00 2.107954961619473266e+00
2.949311831183118127e+00 9.250094503122606449e-02 1.986454935442740100e+00 2.107940805061122802e+00
2.949011901190118579e+00 9.249529212120163879e-02 1.986434509539147131e+00 2.107926647555860455e+00
2.948711971197119475e+00 9.248963868913058495e-02 1.986414126111629930e+00 2.107912489102893971e+00
2.948412041204119927e+00 9.248398473479488291e-02 1.986393785127967826e+00 2.107898329701420437e+00
2.948112111211120823e+00 9.247833025797640161e-02 1.986373486555956802e+00 2.107884169350601411e+00
2.947812181218121719e+00 9.247267525845694058e-02 1.986353230363419264e+00 2.107870008049665955e+00
2.947512251225122171e+00 9.246701973601811897e-02 1.986333016518190275e+00 2.107855845797782735e+00
2.947212321232123067e+00 9.246136369044152814e-02 1.986312844988126658e+00 2.107841682594163046e+00
2.946912391239123519e+00 9.245570712150856518e-02 1.986292715741108772e+00 2.107827518437968450e+00
2.946612461246124415e+00 9.245005002900059943e-02 1.986272628745026081e+00 2.107813353328413797e+00
2.946312531253124867e+00 9.244439241269881979e-02 1.986252583967799357e+00 2.107799187264664198e+00
2.946012601260125763e+00 9.243873427238434581e-02 1.986232581377359807e+00 2.107785020245948715e+00
2.945712671267126659e+00 9.243307560783818599e-02 1.986212620941663287e+00 2.107770852271443118e+00
2.945412741274127111e+00 9.242741641884121007e-02 1.986192702628680973e+00 2.107756683340330284e+00
2.945112811281128007e+00 9.242175670517420449e-02 1.986172826406408021e+00 2.107742513451807298e+00
2.944812881288128459e+00 9.241609646661781696e-02 1.986152992242855353e+00 2.107728342605071248e+00
2.944512951295129355e+00 9.241043570295263965e-02 1.986133200106052765e+00 2.107714170799319220e+00
2.944213021302129807e+00 9.240477441395909819e-02 1.986113449964052924e+00 2.107699998033705668e+00
2.943913091309130703e+00 9.239911259941752109e-02 1.986093741784923816e+00 2.107685824307456102e+00
2.943613161316131155e+00 9.239345025910813969e-02 1.986074075536755634e+00 2.107671649619753396e+00
2.943313231323132051e+00 9.238778739281107433e-02 1.986054451187656333e+00 2.107657473969805295e+00
2.943013301330132947e+00 9.238212400030632043e-02 1.986034868705754519e+00 2.107643297356759149e+00
2.942713371337133399e+00 9.237646008137376241e-02 1.986015328059195229e+00 2.107629119779851123e+00
2.942413441344134295e+00 9.237079563579318753e-02 1.985995829216145259e+00 2.107614941238253436e+00
2.942113511351134747e+00 9.236513066334425814e-02 1.985976372144791613e+00 2.107600761731170280e+00
2.941813581358135643e+00 9.235946516380655336e-02 1.985956956813336838e+00 2.107586581257766767e+00
2.941513651365136095e+00 9.235379913695951348e-02 1.985937583190005462e+00 2.107572399817254194e+00
2.941213721372136991e+00 9.234813258258245394e-02 1.985918251243040888e+00 2.107558217408822543e+00
2.940913791379137443e+00 9.234246550045462076e-02 1.985898960940704949e+00 2.107544034031668900e+00
2.940613861386138339e+00 9.233679789035513508e-02 1.985879712251278129e+00 2.107529849684958378e+00
2.940313931393139235e+00 9.233112975206297923e-02 1.985860505143061783e+00 2.107515664367902275e+00
2.940014001400139687e+00 9.232546108535705232e-02 1.985841339584375698e+00 2.107501478079690571e+00
2.939714071407140583e+00 9.231979189001614239e-02 1.985822215543559199e+00 2.107487290819527459e+00
2.939414141414141035e+00 9.231412216581891261e-02 1.985803132988968489e+00 2.107473102586574498e+00
2.939114211421141931e+00 9.230845191254392901e-02 1.985784091888982861e+00 2.107458913380035881e+00
2.938814281428142383e+00 9.230278112996960493e-02 1.985765092211996485e+00 2.107444723199108694e+00
2.938514351435143279e+00 9.229710981787432600e-02 1.985746133926425738e+00 2.107430532042982918e+00
2.938214421442143731e+00 9.229143797603626964e-02 1.985727217000706535e+00 2.107416339910837877e+00
2.937914491449144627e+00 9.228576560423358555e-02 1.985708341403289889e+00 2.107402146801874210e+00
2.937614561456145523e+00 9.228009270224424299e-02 1.985689507102648577e+00 2.107387952715306767e+00
